Individual;rdf:type;sosa:isObservedBy
Position;sosa:ObservableProperty;HeatPump07InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump07OutValvePositionSensor
Position;sosa:ObservableProperty;HeatPump08InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump08OutValvePositionSensor
Count;sosa:ObservableProperty;GeneralRefrigerationNumberOfHeatPumpsAvailableSensor
Count;sosa:ObservableProperty;GeneralRefrigerationNumberOfHeatPumpsRequestedSensor
Count;sosa:ObservableProperty;GeneralRefrigerationNumberOfHeatPumpsInOperationSensor
Count;sosa:ObservableProperty;GeneralHeatGenerationAvailableHeatPumpSensor
Count;sosa:ObservableProperty;GeneralHeatGenerationControllingHeatPumpSensor
State;sosa:ObservableProperty;HeatExchangerOperatingModeSensor
State;sosa:ObservableProperty;GeneralOperatingModeSensor
DeltaPressure;sosa:ObservableProperty;FreeCoolerAchievedDifferentialPressureVirtualSensor
DeltaPressure;sosa:ObservableProperty;PumpUP1AchievedDifferentialPressureVirtualSensor
DeltaPressure;sosa:ObservableProperty;CoolerUP3AchievedDifferentialPresureVirtualSensor
DeltaPressure;sosa:ObservableProperty;HeatExchangerAchievedDifferentialPressureVirtualSensor
